AGV Type,AGV Number,Task arrive time,FGM Task begin time,FGM Task Finish time,CGM1 Task beign time,CGM1 Task finish time,CGM2 Task beign time,CGM2 Task finish time,CGM3 Task beign time,CGM3 Task finish time
I,1,0:00:00,0:00:00,0:02:12,0:00:00,0:02:17,0:00:00,0:02:44,0:00:00,0:03:02
I,1,0:00:00,0:02:12,0:04:13,0:02:17,0:04:13,0:02:44,0:04:46,0:03:02,0:05:26
I,1,0:00:00,0:04:13,0:06:31,0:04:13,0:06:17,0:04:46,0:06:56,0:05:26,0:07:55
I,1,0:00:00,0:06:31,0:09:05,0:06:17,0:08:35,0:06:56,0:09:14,0:07:55,0:10:34
I,1,0:00:00,0:09:05,0:11:14,0:08:35,0:10:48,0:09:14,0:11:23,0:10:34,0:13:03
I,1,0:00:00,0:11:14,0:12:53,0:10:48,0:12:27,0:11:23,0:13:43,0:13:03,0:15:32
I,1,0:00:00,0:12:53,0:14:33,0:12:27,0:14:06,0:13:43,0:15:53,0:15:32,0:18:09
I,1,0:00:00,0:14:33,0:17:03,0:14:06,0:16:29,0:15:53,0:18:52,0:18:09,0:21:28
I,1,0:00:00,0:17:03,0:22:42,0:16:29,0:21:55,0:18:52,0:22:21,0:21:28,0:25:28
I,1,0:00:00,0:22:42,0:28:01,0:21:55,0:27:15,0:22:21,0:25:43,0:25:28,0:29:08
I,1,0:51:54,0:51:54,0:55:42,0:51:54,0:55:53,0:51:54,0:56:05,0:51:54,0:55:53
I,1,0:51:54,0:55:42,1:00:15,0:55:53,1:00:16,0:56:05,1:01:16,0:55:53,1:00:19
I,1,0:55:09,1:00:15,1:04:05,1:00:16,1:04:16,1:01:16,1:05:29,1:00:19,1:04:20
I,1,0:55:09,1:04:05,1:08:41,1:04:16,1:08:43,1:05:29,1:09:50,1:04:20,1:08:26
I,1,1:34:52,1:34:52,1:37:48,1:34:52,1:37:48,1:34:52,1:38:12,1:34:52,1:38:36
I,1,1:34:52,1:37:48,1:40:59,1:37:48,1:41:00,1:38:12,1:42:43,1:38:36,1:42:54
I,1,1:38:07,1:40:59,1:44:37,1:41:00,1:44:31,1:42:43,1:46:27,1:42:54,1:46:26
I,1,1:38:07,1:44:37,1:49:47,1:44:31,1:49:36,1:46:27,1:51:26,1:46:26,1:50:40
I,1,2:02:57,2:02:57,2:08:32,2:02:57,2:08:37,2:02:57,2:08:50,2:02:57,2:08:38
I,1,2:02:57,2:08:32,2:13:49,2:08:37,2:13:50,2:08:50,2:13:56,2:08:38,2:13:29
I,1,2:06:12,2:13:49,2:17:13,2:13:50,2:17:14,2:13:56,2:17:33,2:13:29,2:16:55
I,1,2:06:12,2:17:13,2:21:47,2:17:14,2:21:49,2:17:33,2:22:01,2:16:55,2:21:08
I,1,2:17:27,2:21:47,2:24:45,2:21:49,2:24:47,2:22:01,2:25:12,2:21:08,2:24:07
I,1,2:17:27,2:24:45,2:29:12,2:24:47,2:29:14,2:25:12,2:29:32,2:24:07,2:28:13
I,1,2:20:42,2:29:12,2:31:55,2:29:14,2:32:13,2:29:32,2:32:31,2:28:13,2:31:28
I,1,2:20:42,2:31:55,2:36:44,2:32:13,2:37:53,2:32:31,2:38:11,2:31:28,2:35:46
I,1,2:27:42,2:36:44,2:40:42,2:37:53,2:42:32,2:38:11,2:42:16,2:35:46,2:39:39
I,1,2:27:42,2:40:42,2:45:10,2:42:32,2:46:23,2:42:16,2:46:49,2:39:39,2:43:52
I,1,2:30:57,2:45:10,2:49:08,2:46:23,2:49:59,2:46:49,2:50:58,2:43:52,2:48:16
I,1,2:30:57,2:49:08,2:53:32,2:49:59,2:54:47,2:50:58,2:55:25,2:48:16,2:53:00
I,1,2:55:12,2:55:12,2:58:33,2:55:12,2:58:02,2:55:25,2:58:38,2:55:12,2:58:48
I,1,2:55:12,2:58:33,3:02:57,2:58:02,3:02:27,2:58:38,3:03:04,2:58:48,3:03:02
I,1,3:10:56,3:10:56,3:14:35,3:10:56,3:15:17,3:10:56,3:14:55,3:10:56,3:14:31
I,1,3:10:56,3:14:35,3:19:36,3:15:17,3:19:36,3:14:55,3:19:54,3:14:31,3:18:45
I,1,3:17:52,3:19:36,3:22:58,3:19:36,3:23:08,3:19:54,3:23:27,3:18:45,3:22:35
I,1,3:17:52,3:22:58,3:28:05,3:23:08,3:28:06,3:23:27,3:28:24,3:22:35,3:26:41
I,1,3:50:12,3:50:12,3:54:57,3:50:12,3:55:28,3:50:12,3:54:46,3:50:12,3:54:34
I,1,3:50:12,3:54:57,3:59:21,3:55:28,3:59:15,3:54:46,3:59:14,3:54:34,3:58:49
I,1,4:01:37,4:01:37,4:05:37,4:01:37,4:05:42,4:01:37,4:05:42,4:01:37,4:05:59
I,1,4:01:37,4:05:37,4:10:43,4:05:42,4:10:43,4:05:42,4:10:44,4:05:59,4:10:08
I,1,4:17:42,4:17:42,4:22:13,4:17:42,4:22:50,4:17:42,4:22:16,4:17:42,4:22:04
I,1,4:17:42,4:22:13,4:26:37,4:22:50,4:26:37,4:22:16,4:26:44,4:22:04,4:26:17
I,1,4:20:57,4:26:37,4:30:36,4:26:37,4:30:54,4:26:44,4:30:19,4:26:17,4:29:41
I,1,4:20:57,4:30:36,4:35:17,4:30:54,4:35:24,4:30:19,4:35:30,4:29:41,4:34:30
I,1,4:29:37,4:35:17,4:39:01,4:35:24,4:39:09,4:35:30,4:39:15,4:34:30,4:38:31
I,1,4:29:37,4:39:01,4:43:58,4:39:09,4:44:06,4:39:15,4:44:13,4:38:31,4:42:37
I,1,4:52:57,4:52:57,4:58:19,4:52:57,4:58:14,4:52:57,4:58:14,4:52:57,4:58:31
I,1,4:56:12,4:58:19,5:03:43,4:58:14,5:03:36,4:58:14,5:03:38,4:58:31,5:04:17
